TimeEST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC,TimeEDT
4:51 PM,48.9,46.9,93,29.95,5.0,SW,9.2,-,0.01,Rain,Light Rain,230,2013-01-01 21:51:00,
5:26 PM,48.2,46.4,93,29.97,5.0,Calm,Calm,-,0.01,Rain,Light Rain,0,2013-01-01 22:26:00,
5:51 PM,48.9,46.9,93,29.98,5.0,Calm,Calm,-,0.01,Rain,Light Rain,0,2013-01-01 22:51:00,
6:16 PM,48.2,46.4,93,29.98,4.0,SW,6.9,-,0.02,Rain,Light Rain,220,2013-01-01 23:16:00,
6:51 PM,48.9,48.0,97,29.97,4.0,SW,5.8,-,0.04,Rain,Light Rain,220,2013-01-01 23:51:00,
7:16 PM,48.2,48.2,100,29.98,3.0,WSW,3.5,-,0.0,Rain,Light Rain,240,2013-01-02 00:16:00,
7:51 PM,50.0,48.0,93,29.99,3.0,West,3.5,-,0.01,Rain,Light Rain,280,2013-01-02 00:51:00,
8:51 PM,50.0,48.9,96,29.99,3.0,West,3.5,-,0.02,Rain,Light Rain,260,2013-01-02 01:51:00,
9:15 PM,50.0,48.2,94,29.98,3.0,Calm,Calm,-,0.01,Rain,Light Rain,0,2013-01-02 02:15:00,
9:51 PM,50.0,48.9,96,29.99,2.0,Calm,Calm,-,0.02,Rain,Light Rain,0,2013-01-02 02:51:00,
10:51 PM,50.0,48.0,93,29.98,1.5,Calm,Calm,-,0.02,Rain,Light Rain,0,2013-01-02 03:51:00,
11:51 PM,48.9,48.0,97,29.97,1.5,Calm,Calm,-,0.02,Rain,Light Rain,0,2013-01-02 04:51:00,
12:51 AM,48.9,48.0,97,29.94,1.5,Calm,Calm,-,0.03,Rain,Light Rain,0,2013-01-02 05:51:00,
1:51 AM,48.9,48.0,97,29.94,1.5,Calm,Calm,-,0.03,,Overcast,0,2013-01-02 06:51:00,
2:51 AM,46.9,46.0,97,29.97,1.5,Variable,4.6,-,0.06,Rain,Light Rain,0,2013-01-02 07:51:00,
3:48 AM,46.4,44.6,93,29.96,6.0,NNE,4.6,-,0.05,Rain,Light Rain,20,2013-01-02 08:48:00,
3:51 AM,46.9,45.0,93,29.97,6.0,NNE,6.9,-,0.05,Rain,Light Rain,20,2013-01-02 08:51:00,
4:51 AM,45.0,43.0,93,29.96,6.0,NNE,6.9,-,0.03,Rain,Light Rain,30,2013-01-02 09:51:00,
5:51 AM,44.1,43.0,96,29.99,6.0,NNE,3.5,-,0.03,Rain,Light Rain,20,2013-01-02 10:51:00,
6:51 AM,44.1,42.1,93,30.01,4.0,Variable,3.5,-,0.02,,Light Drizzle,0,2013-01-02 11:51:00,
7:40 AM,44.6,42.8,93,30.02,9.0,Calm,Calm,-,0.0,,Overcast,0,2013-01-02 12:40:00,
7:51 AM,44.1,42.1,93,30.02,10.0,Calm,Calm,-,0.0,,Overcast,0,2013-01-02 12:51:00,
8:51 AM,44.1,42.1,93,30.05,10.0,North,3.5,-,,,Overcast,350,2013-01-02 13:51:00,
9:51 AM,45.0,42.1,90,30.09,10.0,North,4.6,-,,,Overcast,10,2013-01-02 14:51:00,
10:51 AM,45.0,41.0,86,30.1,10.0,North,5.8,-,,,Overcast,10,2013-01-02 15:51:00,
11:51 AM,44.1,39.0,82,30.09,10.0,NNE,8.1,-,,,Mostly Cloudy,20,2013-01-02 16:51:00,
12:51 PM,44.1,37.9,79,30.08,10.0,Variable,5.8,-,,,Mostly Cloudy,0,2013-01-02 17:51:00,
1:31 PM,44.6,37.4,76,30.07,10.0,NE,5.8,-,,,Mostly Cloudy,40,2013-01-02 18:31:00,
1:51 PM,45.0,37.9,76,30.07,10.0,NE,8.1,-,,,Mostly Cloudy,50,2013-01-02 18:51:00,
2:51 PM,44.1,37.0,76,30.08,10.0,NNE,6.9,-,,,Mostly Cloudy,30,2013-01-02 19:51:00,
3:51 PM,44.1,36.0,73,30.11,10.0,NE,8.1,-,,,Mostly Cloudy,40,2013-01-02 20:51:00,
4:11 PM,42.8,37.4,81,30.11,10.0,ENE,6.9,-,,,Mostly Cloudy,60,2013-01-02 21:11:00,
4:51 PM,42.1,36.0,79,30.12,10.0,ENE,6.9,-,,,Mostly Cloudy,60,2013-01-02 21:51:00,
5:51 PM,42.1,35.1,76,30.14,10.0,East,4.6,-,,,Mostly Cloudy,90,2013-01-02 22:51:00,
6:51 PM,41.0,36.0,82,30.16,10.0,Calm,Calm,-,,,Overcast,0,2013-01-02 23:51:00,
7:51 PM,39.9,36.0,86,30.17,10.0,Calm,Calm,-,,,Overcast,0,2013-01-03 00:51:00,
8:51 PM,39.9,36.0,86,30.17,10.0,Calm,Calm,-,,,Overcast,0,2013-01-03 01:51:00,
9:51 PM,39.9,37.0,89,30.18,9.0,Calm,Calm,-,,,Overcast,0,2013-01-03 02:51:00,
10:51 PM,41.0,37.0,86,30.19,8.0,Calm,Calm,-,,,Overcast,0,2013-01-03 03:51:00,
11:51 PM,41.0,37.0,86,30.19,8.0,Calm,Calm,-,,,Overcast,0,2013-01-03 04:51:00,
12:51 AM,41.0,37.0,86,30.18,8.0,Calm,Calm,-,,,Overcast,0,2013-01-03 05:51:00,
1:51 AM,39.9,37.0,89,30.17,7.0,Calm,Calm,-,,,Overcast,0,2013-01-03 06:51:00,
2:32 AM,39.2,37.4,93,30.18,8.0,Calm,Calm,-,,,Overcast,0,2013-01-03 07:32:00,
2:51 AM,39.9,36.0,86,30.19,8.0,Calm,Calm,-,,,Overcast,0,2013-01-03 07:51:00,
3:51 AM,39.9,36.0,86,30.18,8.0,Calm,Calm,-,,,Overcast,0,2013-01-03 08:51:00,
4:51 AM,39.9,36.0,86,30.17,9.0,East,3.5,-,0.0,,Overcast,90,2013-01-03 09:51:00,
5:51 AM,39.9,36.0,86,30.18,9.0,Calm,Calm,-,,,Overcast,0,2013-01-03 10:51:00,
6:51 AM,39.9,36.0,86,30.2,8.0,Calm,Calm,-,,,Overcast,0,2013-01-03 11:51:00,
7:51 AM,39.0,35.1,86,30.2,7.0,Variable,5.8,-,,,Overcast,0,2013-01-03 12:51:00,
8:51 AM,39.0,35.1,86,30.21,6.0,East,5.8,-,,,Overcast,80,2013-01-03 13:51:00,
9:51 AM,39.9,34.0,79,30.22,7.0,East,5.8,-,,,Overcast,80,2013-01-03 14:51:00,
10:31 AM,39.2,33.8,81,30.23,7.0,East,4.6,-,,,Overcast,90,2013-01-03 15:31:00,
10:51 AM,41.0,34.0,76,30.23,8.0,Calm,Calm,-,,,Overcast,0,2013-01-03 15:51:00,
11:36 AM,42.8,33.8,70,30.2,8.0,Calm,Calm,-,,,Overcast,0,2013-01-03 16:36:00,
11:51 AM,42.1,34.0,73,30.2,8.0,ENE,3.5,-,,,Overcast,70,2013-01-03 16:51:00,
12:51 PM,43.0,34.0,71,30.17,9.0,Calm,Calm,-,,,Overcast,0,2013-01-03 17:51:00,
1:51 PM,45.0,34.0,65,30.16,10.0,Calm,Calm,-,,,Overcast,0,2013-01-03 18:51:00,
2:51 PM,44.6,33.8,66,30.16,10.0,Calm,Calm,-,,,Overcast,0,2013-01-03 19:51:00,
3:51 PM,43.0,35.1,74,30.19,10.0,NNE,5.8,-,,,Overcast,30,2013-01-03 20:51:00,
4:51 PM,42.1,35.1,76,30.21,7.0,NE,6.9,-,,,Overcast,40,2013-01-03 21:51:00,
5:43 PM,41.0,35.6,81,30.21,7.0,Calm,Calm,-,,,Overcast,0,2013-01-03 22:43:00,
5:51 PM,41.0,36.0,82,30.22,7.0,Variable,4.6,-,,,Overcast,0,2013-01-03 22:51:00,
6:51 PM,39.0,35.1,86,30.24,7.0,Calm,Calm,-,,,Mostly Cloudy,0,2013-01-03 23:51:00,
7:51 PM,36.0,34.0,93,30.25,6.0,Calm,Calm,-,,,Mostly Cloudy,0,2013-01-04 00:51:00,
8:51 PM,33.1,30.9,92,30.26,7.0,Calm,Calm,-,,,Scattered Clouds,0,2013-01-04 01:51:00,
9:51 PM,32.0,30.0,92,30.27,5.0,Calm,Calm,-,,,Partly Cloudy,0,2013-01-04 02:51:00,
10:51 PM,30.9,28.0,89,30.27,5.0,Calm,Calm,-,,,Clear,0,2013-01-04 03:51:00,
11:51 PM,28.9,28.0,96,30.27,4.0,Calm,Calm,-,,,Clear,0,2013-01-04 04:51:00,
12:51 AM,30.9,28.0,89,30.26,4.0,Calm,Calm,-,,,Clear,0,2013-01-04 05:51:00,
1:51 AM,30.0,26.1,85,30.26,6.0,Calm,Calm,-,,,Clear,0,2013-01-04 06:51:00,
2:51 AM,28.9,26.1,89,30.29,6.0,Calm,Calm,-,,,Clear,0,2013-01-04 07:51:00,
3:51 AM,28.9,26.1,89,30.28,8.0,Calm,Calm,-,,,Clear,0,2013-01-04 08:51:00,
4:51 AM,27.0,24.1,89,30.27,10.0,Calm,Calm,-,,,Clear,0,2013-01-04 09:51:00,
5:51 AM,27.0,24.1,89,30.28,10.0,Calm,Calm,-,,,Clear,0,2013-01-04 10:51:00,
6:51 AM,28.9,24.1,82,30.29,10.0,WNW,4.6,-,,,Clear,290,2013-01-04 11:51:00,
7:51 AM,30.0,24.1,79,30.3,10.0,NW,3.5,-,,,Clear,320,2013-01-04 12:51:00,
8:51 AM,34.0,25.0,70,30.3,10.0,NW,3.5,-,,,Clear,310,2013-01-04 13:51:00,
9:51 AM,37.0,24.1,59,30.32,10.0,WNW,8.1,-,,,Clear,300,2013-01-04 14:51:00,
10:51 AM,41.0,24.1,51,30.32,10.0,NNW,9.2,-,,,Partly Cloudy,340,2013-01-04 15:51:00,
11:51 AM,43.0,21.9,43,30.28,10.0,NW,6.9,-,,,Partly Cloudy,310,2013-01-04 16:51:00,
12:51 PM,46.0,21.9,39,30.25,10.0,West,11.5,-,,,Partly Cloudy,260,2013-01-04 17:51:00,
1:51 PM,48.0,19.9,33,30.22,10.0,West,9.2,16.1,,,Partly Cloudy,270,2013-01-04 18:51:00,
2:51 PM,50.0,19.0,29,30.2,10.0,West,9.2,-,,,Scattered Clouds,280,2013-01-04 19:51:00,
3:51 PM,50.0,21.0,32,30.2,10.0,WSW,8.1,-,,,Scattered Clouds,250,2013-01-04 20:51:00,
4:51 PM,48.9,19.0,31,30.21,10.0,West,6.9,-,,,Scattered Clouds,280,2013-01-04 21:51:00,
5:51 PM,46.9,21.0,36,30.22,10.0,West,5.8,-,,,Mostly Cloudy,270,2013-01-04 22:51:00,
6:51 PM,46.0,23.0,40,30.24,10.0,West,5.8,-,,,Overcast,270,2013-01-04 23:51:00,
7:51 PM,45.0,21.0,39,30.27,10.0,WNW,4.6,-,,,Scattered Clouds,300,2013-01-05 00:51:00,
8:51 PM,43.0,19.0,38,30.29,10.0,NW,5.8,-,,,Partly Cloudy,310,2013-01-05 01:51:00,
9:51 PM,41.0,18.0,40,30.3,10.0,NW,5.8,-,,,Partly Cloudy,310,2013-01-05 02:51:00,
10:51 PM,37.9,19.0,47,30.3,10.0,Calm,Calm,-,,,Clear,0,2013-01-05 03:51:00,
11:51 PM,34.0,19.9,56,30.3,10.0,Calm,Calm,-,,,Clear,0,2013-01-05 04:51:00,
12:51 AM,30.0,19.9,66,30.29,10.0,West,4.6,-,,,Clear,270,2013-01-05 05:51:00,
1:51 AM,30.0,19.9,66,30.3,10.0,Calm,Calm,-,,,Clear,0,2013-01-05 06:51:00,
2:51 AM,32.0,19.9,61,30.3,10.0,West,4.6,-,,,Clear,270,2013-01-05 07:51:00,
3:51 AM,30.9,19.9,64,30.32,10.0,West,3.5,-,,,Clear,270,2013-01-05 08:51:00,
4:51 AM,30.2,19.4,64,30.3,10.0,Calm,Calm,-,,,Clear,0,2013-01-05 09:51:00,
5:51 AM,28.9,19.9,69,30.34,10.0,West,4.6,-,,,Partly Cloudy,270,2013-01-05 10:51:00,
6:51 AM,26.6,19.4,74,30.31,10.0,Calm,Calm,-,,,Partly Cloudy,0,2013-01-05 11:51:00,
7:51 AM,25.0,19.9,81,30.36,10.0,Calm,Calm,-,,,Partly Cloudy,0,2013-01-05 12:51:00,
8:51 AM,33.1,23.0,66,30.37,10.0,Calm,Calm,-,,,Scattered Clouds,0,2013-01-05 13:51:00,
9:51 AM,37.4,21.2,52,30.38,10.0,Calm,Calm,-,,,Mostly Cloudy,0,2013-01-05 14:51:00,
10:51 AM,42.1,23.0,47,30.39,10.0,Calm,Calm,-,,,Mostly Cloudy,0,2013-01-05 15:51:00,
11:51 AM,45.0,21.9,40,30.38,10.0,Calm,Calm,-,,,Mostly Cloudy,0,2013-01-05 16:51:00,
12:51 PM,48.0,23.0,37,30.34,10.0,Calm,Calm,-,,,Mostly Cloudy,0,2013-01-05 17:51:00,
1:51 PM,48.0,21.9,36,30.31,10.0,Calm,Calm,-,,,Mostly Cloudy,0,2013-01-05 18:51:00,
2:51 PM,48.0,21.9,36,30.3,10.0,Variable,3.5,-,,,Mostly Cloudy,0,2013-01-05 19:51:00,
3:51 PM,48.0,21.9,36,30.31,10.0,SSE,4.6,-,,,Mostly Cloudy,160,2013-01-05 20:51:00,
4:51 PM,46.0,23.0,40,30.31,10.0,Calm,Calm,-,,,Mostly Cloudy,0,2013-01-05 21:51:00,
5:51 PM,42.8,26.6,53,30.29,10.0,South,4.6,-,,,Mostly Cloudy,170,2013-01-05 22:51:00,
6:51 PM,39.9,26.1,58,30.3,10.0,Calm,Calm,-,,,Mostly Cloudy,0,2013-01-05 23:51:00,
7:51 PM,39.0,27.0,62,30.31,10.0,Calm,Calm,-,,,Mostly Cloudy,0,2013-01-06 00:51:00,
8:51 PM,39.0,27.0,62,30.29,10.0,Calm,Calm,-,,,Mostly Cloudy,0,2013-01-06 01:51:00,
9:51 PM,39.9,27.0,60,30.3,10.0,Calm,Calm,-,,,Overcast,0,2013-01-06 02:51:00,
10:51 PM,41.0,27.0,57,30.29,10.0,SSW,8.1,-,,,Mostly Cloudy,210,2013-01-06 03:51:00,
11:51 PM,42.1,28.0,58,30.27,10.0,SW,6.9,-,,,Overcast,220,2013-01-06 04:51:00,
12:51 AM,42.1,27.0,55,30.22,10.0,SSW,5.8,-,,,Mostly Cloudy,200,2013-01-06 05:51:00,
1:51 AM,41.0,30.0,65,30.23,10.0,WSW,6.9,-,,,Mostly Cloudy,240,2013-01-06 06:51:00,
2:51 AM,41.0,30.9,67,30.23,10.0,SW,3.5,-,0.0,Rain,Light Rain,230,2013-01-06 07:51:00,
3:51 AM,39.9,32.0,73,30.22,10.0,SW,4.6,-,0.0,,Mostly Cloudy,230,2013-01-06 08:51:00,
4:51 AM,39.9,34.0,79,30.19,9.0,SW,4.6,-,0.0,Rain,Light Rain,230,2013-01-06 09:51:00,
5:51 AM,41.0,33.1,73,30.18,10.0,SSW,4.6,-,0.0,,Mostly Cloudy,210,2013-01-06 10:51:00,
6:51 AM,41.0,32.0,70,30.19,10.0,Calm,Calm,-,0.0,,Overcast,0,2013-01-06 11:51:00,
7:51 AM,39.9,34.0,79,30.19,10.0,SW,3.5,-,,,Mostly Cloudy,230,2013-01-06 12:51:00,
9:51 AM,44.1,33.1,65,30.2,10.0,West,3.5,-,,,Overcast,280,2013-01-06 14:51:00,
10:51 AM,45.0,35.1,68,30.2,10.0,SW,6.9,-,0.0,,Overcast,230,2013-01-06 15:51:00,
11:51 AM,44.6,35.6,71,30.16,10.0,SW,5.8,-,,,Overcast,230,2013-01-06 16:51:00,
12:51 PM,46.0,35.1,66,30.12,10.0,SSW,4.6,-,,,Mostly Cloudy,210,2013-01-06 17:51:00,
1:51 PM,48.9,35.1,59,30.1,10.0,SSW,5.8,-,,,Mostly Cloudy,210,2013-01-06 18:51:00,
2:51 PM,48.9,34.0,56,30.08,10.0,South,3.5,-,,,Mostly Cloudy,190,2013-01-06 19:51:00,
3:51 PM,48.9,34.0,56,30.07,10.0,SSW,5.8,-,,,Mostly Cloudy,200,2013-01-06 20:51:00,
4:51 PM,46.9,36.0,66,30.08,10.0,SW,5.8,-,,,Mostly Cloudy,230,2013-01-06 21:51:00,
5:51 PM,45.0,35.1,68,30.09,10.0,Calm,Calm,-,,,Mostly Cloudy,0,2013-01-06 22:51:00,
6:51 PM,43.0,36.0,76,30.1,10.0,Calm,Calm,-,,,Scattered Clouds,0,2013-01-06 23:51:00,
7:51 PM,39.9,35.1,83,30.12,10.0,Calm,Calm,-,,,Scattered Clouds,0,2013-01-07 00:51:00,
8:51 PM,36.0,34.0,93,30.13,10.0,Calm,Calm,-,,,Scattered Clouds,0,2013-01-07 01:51:00,
9:51 PM,37.9,35.1,89,30.15,10.0,Calm,Calm,-,,,Scattered Clouds,0,2013-01-07 02:51:00,
10:51 PM,39.0,34.0,82,30.17,10.0,Calm,Calm,-,,,Mostly Cloudy,0,2013-01-07 03:51:00,
11:51 PM,39.0,32.0,76,30.18,10.0,Calm,Calm,-,,,Scattered Clouds,0,2013-01-07 04:51:00,
12:51 AM,39.9,30.9,70,30.19,10.0,Calm,Calm,-,,,Mostly Cloudy,0,2013-01-07 05:51:00,
1:51 AM,37.0,30.0,76,30.2,10.0,Calm,Calm,-,,,Partly Cloudy,0,2013-01-07 06:51:00,
2:51 AM,35.6,28.4,75,30.21,10.0,Calm,Calm,-,,,Partly Cloudy,0,2013-01-07 07:51:00,
3:51 AM,32.0,28.9,88,30.23,10.0,Calm,Calm,-,,,Clear,0,2013-01-07 08:51:00,
4:51 AM,30.9,27.0,85,30.25,10.0,Calm,Calm,-,,,Clear,0,2013-01-07 09:51:00,
5:51 AM,33.1,28.0,82,30.27,10.0,Calm,Calm,-,,,Clear,0,2013-01-07 10:51:00,
6:51 AM,33.1,27.0,78,30.32,10.0,Calm,Calm,-,,,Partly Cloudy,0,2013-01-07 11:51:00,
7:51 AM,30.9,27.0,85,30.36,10.0,Calm,Calm,-,,,Partly Cloudy,0,2013-01-07 12:51:00,
8:51 AM,39.0,28.9,67,30.39,10.0,Calm,Calm,-,,,Partly Cloudy,0,2013-01-07 13:51:00,
9:51 AM,42.1,28.9,60,30.41,10.0,NNE,9.2,-,,,Partly Cloudy,30,2013-01-07 14:51:00,
10:51 AM,46.0,30.0,54,30.43,10.0,NE,13.8,19.6,,,Partly Cloudy,50,2013-01-07 15:51:00,
11:51 AM,48.0,30.0,50,30.4,10.0,North,8.1,-,,,Partly Cloudy,10,2013-01-07 16:51:00,
12:51 PM,48.9,28.9,46,30.38,10.0,Variable,4.6,-,,,Partly Cloudy,0,2013-01-07 17:51:00,
1:51 PM,50.0,28.9,44,30.39,10.0,Variable,4.6,-,,,Partly Cloudy,0,2013-01-07 18:51:00,
2:51 PM,51.1,30.0,44,30.39,10.0,Calm,Calm,-,,,Partly Cloudy,0,2013-01-07 19:51:00,
3:51 PM,51.1,28.9,43,30.4,10.0,Calm,Calm,-,,,Partly Cloudy,0,2013-01-07 20:51:00,
4:51 PM,48.9,30.9,50,30.41,10.0,Calm,Calm,-,,,Partly Cloudy,0,2013-01-07 21:51:00,
5:51 PM,43.0,30.9,62,30.42,10.0,East,3.5,-,,,Partly Cloudy,80,2013-01-07 22:51:00,
6:51 PM,39.9,30.9,70,30.43,10.0,Calm,Calm,-,,,Partly Cloudy,0,2013-01-07 23:51:00,
7:51 PM,37.9,30.0,73,30.44,10.0,Calm,Calm,-,,,Clear,0,2013-01-08 00:51:00,
8:51 PM,36.0,30.0,79,30.44,10.0,Calm,Calm,-,,,Clear,0,2013-01-08 01:51:00,
9:51 PM,34.0,28.9,82,30.44,10.0,Calm,Calm,-,,,Clear,0,2013-01-08 02:51:00,
10:51 PM,37.9,28.9,70,30.43,10.0,SE,4.6,-,,,Partly Cloudy,130,2013-01-08 03:51:00,
11:51 PM,37.0,28.9,73,30.42,10.0,SE,5.8,-,,,Scattered Clouds,140,2013-01-08 04:51:00,
12:51 AM,37.0,28.9,73,30.42,10.0,SE,4.6,-,,,Scattered Clouds,140,2013-01-08 05:51:00,
1:51 AM,33.8,28.4,81,30.42,10.0,Calm,Calm,-,,,Scattered Clouds,0,2013-01-08 06:51:00,
2:51 AM,32.0,28.0,85,30.42,9.0,Calm,Calm,-,,,Partly Cloudy,0,2013-01-08 07:51:00,
3:51 AM,30.0,28.0,92,30.42,10.0,Calm,Calm,-,,,Scattered Clouds,0,2013-01-08 08:51:00,
4:51 AM,32.0,28.9,88,30.41,10.0,Calm,Calm,-,,,Mostly Cloudy,0,2013-01-08 09:51:00,
5:51 AM,34.0,30.9,89,30.42,10.0,ENE,3.5,-,,,Mostly Cloudy,60,2013-01-08 10:51:00,
6:51 AM,36.0,33.1,89,30.43,10.0,ENE,3.5,-,,,Mostly Cloudy,60,2013-01-08 11:51:00,
7:51 AM,39.0,33.1,79,30.43,10.0,Calm,Calm,-,,,Mostly Cloudy,0,2013-01-08 12:51:00,
8:51 AM,39.0,33.1,79,30.46,10.0,Calm,Calm,-,,,Mostly Cloudy,0,2013-01-08 13:51:00,
9:51 AM,41.0,33.1,73,30.48,10.0,Calm,Calm,-,,,Overcast,0,2013-01-08 14:51:00,
10:51 AM,44.6,33.8,66,30.46,10.0,Calm,Calm,-,,,Overcast,0,2013-01-08 15:51:00,
11:51 AM,46.0,32.0,58,30.44,10.0,Calm,Calm,-,,,Overcast,0,2013-01-08 16:51:00,
12:51 PM,48.0,34.0,58,30.41,10.0,Calm,Calm,-,,,Overcast,0,2013-01-08 17:51:00,
1:51 PM,51.1,32.0,48,30.4,10.0,Calm,Calm,-,,,Overcast,0,2013-01-08 18:51:00,
2:51 PM,54.0,35.1,49,30.38,10.0,Calm,Calm,-,,,Mostly Cloudy,0,2013-01-08 19:51:00,
3:51 PM,54.0,35.1,49,30.38,10.0,Calm,Calm,-,,,Mostly Cloudy,0,2013-01-08 20:51:00,
4:51 PM,53.1,36.0,52,30.4,10.0,Calm,Calm,-,,,Mostly Cloudy,0,2013-01-08 21:51:00,
5:51 PM,48.9,36.0,61,30.4,10.0,NE,3.5,-,,,Mostly Cloudy,50,2013-01-08 22:51:00,
6:51 PM,46.0,37.0,71,30.4,10.0,NE,4.6,-,,,Mostly Cloudy,50,2013-01-08 23:51:00,
7:51 PM,45.0,37.0,74,30.41,10.0,Calm,Calm,-,,,Mostly Cloudy,0,2013-01-09 00:51:00,
8:51 PM,43.0,36.0,76,30.41,10.0,Calm,Calm,-,,,Partly Cloudy,0,2013-01-09 01:51:00,
9:51 PM,42.1,36.0,79,30.41,10.0,Calm,Calm,-,,,Mostly Cloudy,0,2013-01-09 02:51:00,
10:51 PM,41.0,36.0,82,30.41,10.0,Calm,Calm,-,,,Mostly Cloudy,0,2013-01-09 03:51:00,
11:51 PM,43.0,37.0,80,30.4,10.0,Calm,Calm,-,,,Scattered Clouds,0,2013-01-09 04:51:00,
12:51 AM,42.1,37.0,82,30.39,10.0,Calm,Calm,-,,,Mostly Cloudy,0,2013-01-09 05:51:00,
1:51 AM,39.9,36.0,86,30.37,10.0,Calm,Calm,-,,,Partly Cloudy,0,2013-01-09 06:51:00,
2:51 AM,37.9,36.0,93,30.4,8.0,Calm,Calm,-,,,Partly Cloudy,0,2013-01-09 07:51:00,
3:51 AM,37.9,36.0,93,30.4,8.0,Calm,Calm,-,,,Scattered Clouds,0,2013-01-09 08:51:00,
4:51 AM,37.9,35.1,89,30.39,9.0,Calm,Calm,-,,,Partly Cloudy,0,2013-01-09 09:51:00,
5:51 AM,37.0,35.1,93,30.4,8.0,Calm,Calm,-,,,Clear,0,2013-01-09 10:51:00,
6:51 AM,36.0,34.0,93,30.41,8.0,Calm,Calm,-,,,Partly Cloudy,0,2013-01-09 11:51:00,
7:51 AM,36.0,34.0,93,30.43,9.0,Calm,Calm,-,,,Scattered Clouds,0,2013-01-09 12:51:00,
8:51 AM,42.1,37.9,85,30.44,10.0,Calm,Calm,-,,,Scattered Clouds,0,2013-01-09 13:51:00,
9:51 AM,52.0,41.0,66,30.44,10.0,Calm,Calm,-,,,Scattered Clouds,0,2013-01-09 14:51:00,
10:51 AM,57.0,43.0,59,30.45,10.0,Calm,Calm,-,,,Scattered Clouds,0,2013-01-09 15:51:00,
11:51 AM,60.1,45.0,57,30.43,10.0,WSW,5.8,-,,,Mostly Cloudy,250,2013-01-09 16:51:00,
12:51 PM,64.4,46.4,52,30.39,10.0,SW,6.9,-,,,Scattered Clouds,230,2013-01-09 17:51:00,
1:51 PM,64.9,46.9,52,30.37,10.0,SW,9.2,-,,,Mostly Cloudy,230,2013-01-09 18:51:00,
2:51 PM,66.2,46.4,49,30.36,10.0,WSW,10.4,-,,,Mostly Cloudy,240,2013-01-09 19:51:00,
3:51 PM,64.0,46.9,54,30.38,10.0,SW,5.8,-,,,Mostly Cloudy,230,2013-01-09 20:51:00,
4:51 PM,62.1,46.0,56,30.37,10.0,Calm,Calm,-,,,Mostly Cloudy,0,2013-01-09 21:51:00,
5:51 PM,60.1,46.9,62,30.38,10.0,Calm,Calm,-,,,Mostly Cloudy,0,2013-01-09 22:51:00,
6:51 PM,57.9,46.9,67,30.37,10.0,South,6.9,-,,,Mostly Cloudy,190,2013-01-09 23:51:00,
7:51 PM,57.0,46.9,69,30.39,10.0,Calm,Calm,-,,,Mostly Cloudy,0,2013-01-10 00:51:00,
8:51 PM,53.1,46.0,77,30.39,10.0,Calm,Calm,-,,,Mostly Cloudy,0,2013-01-10 01:51:00,
9:51 PM,51.1,46.0,83,30.41,10.0,Calm,Calm,-,,,Scattered Clouds,0,2013-01-10 02:51:00,
10:51 PM,48.9,45.0,86,30.41,10.0,Calm,Calm,-,,,Mostly Cloudy,0,2013-01-10 03:51:00,
